ID,Priorité,Module,Lien à tester,Quoi,Ce que je teste (étapes),Ce qui doit se passer,Statut,Sévérité,Capture d'écran (coller ici),Bug / Notes,Navigateur · Appareil,Testeur,Date
C01,P0,Onboarding (profil),https://v0-big-five-bootcamp-platform.vercel.app/dashboard,Profil obligatoire — nouveau compte,"Je crée un nouveau compte, je confirme mon email, puis j'essaie d'aller directement sur le tableau de bord (ou je colle l'adresse du tableau de bord dans le navigateur).",Je suis automatiquement renvoyé vers la page de complétion du profil. Impossible d'accéder au tableau de bord tant que le profil n'est pas complet.,À tester,,,,,,
C02,P0,Onboarding (profil),https://v0-big-five-bootcamp-platform.vercel.app/pricing,Profil obligatoire — après paiement Découverte,"Avec un nouveau compte au profil incomplet, je vais directement au paiement et je souscris au plan Découverte.","Même après le paiement, on me demande de compléter mon profil avant de pouvoir naviguer dans le tableau de bord.",À tester,,,,,,
C03,P0,Onboarding (profil),https://v0-big-five-bootcamp-platform.vercel.app/pricing,Profil obligatoire — après paiement Basic,Même test que ci-dessus avec le plan Basic.,Même résultat : complétion du profil exigée avant l'accès au tableau de bord.,À tester,,,,,,
C04,P0,Onboarding (profil),https://v0-big-five-bootcamp-platform.vercel.app/webinaires,Profil obligatoire — accès direct par lien,"Profil incomplet : je colle directement dans le navigateur l'adresse d'une page interne (campagnes, webinaires…).","Je suis renvoyé vers la complétion du profil, pas vers la page demandée.",À tester,,,,,,
C05,P0,#BigFiveDécrypte,https://v0-big-five-bootcamp-platform.vercel.app/webinaires,Email de confirmation d'inscription,"Je m'inscris à une session de webinaire, puis je vérifie ma boîte mail (et le dossier spam).","Je reçois un email de confirmation reprenant le titre de la session, la date et l'heure, conforme au modèle validé.",À tester,,,,,,
C06,P0,#BigFiveDécrypte,https://v0-big-five-bootcamp-platform.vercel.app/webinaires,Aperçu public d'une session (non connecté),"Déconnecté (ou en navigation privée), j'ouvre le lien public d'une session.","Je vois un aperçu de la session : titre, date, heure, courte description — sans accéder à l'espace connecté.",À tester,,,,,,
C07,P0,#BigFiveDécrypte,https://v0-big-five-bootcamp-platform.vercel.app/webinaires,Retour après connexion,"Depuis l'aperçu public, je clique sur « Se connecter », puis je me connecte (ou je crée un compte).","Après la connexion, je reviens automatiquement vers le programme et la session concernée est mise en évidence.",À tester,,,,,,
C08,P1,Suivi & stats,https://v0-big-five-bootcamp-platform.vercel.app/admin/users,Dernière activité à jour,"Je me connecte avec un compte test, je clique sur une campagne, puis je regarde ce compte dans l'admin (colonne « Dernière activité »).",La date et l'heure de dernière activité correspondent à mon action de tout à l'heure (plus de date figée).,À tester,,,"Le suivi de la dernière activité démarre au déploiement (migration 08) : tester avec une action réalisée APRÈS la mise en ligne. Les actions antérieures ne sont pas rétro-actives.",,,
C09,P1,Suivi & stats,https://v0-big-five-bootcamp-platform.vercel.app/admin/users,Statut d'activité correct,"Dans l'admin, je vérifie le statut d'un compte qui vient d'agir, d'un compte inactif depuis longtemps et d'un compte jamais connecté.",Les libellés sont cohérents (Actif récent / Inactif / Dormant / Jamais connecté). Tous les comptes ne sont plus bloqués sur « Jamais connecté ».,À tester,,,"IMPORTANT : le statut d'activité ne se calcule qu'APRÈS le déploiement (migration 08). Par défaut, tous les comptes existants restent en « Jamais connecté » (= première connexion) tant qu'ils n'ont pas réalisé une action (connexion, vue de campagne, recherche, inscription webinaire…) après la mise en ligne ; le statut se met alors à jour automatiquement et remonte dans /admin/audience.",,,
C10,P1,Suivi & stats,https://v0-big-five-bootcamp-platform.vercel.app/admin/users,Filtre par statut d'activité,"Dans l'admin, je filtre la liste des utilisateurs par statut d'activité.",La liste se réduit aux utilisateurs du statut choisi et le compteur se met à jour.,À tester,,,,,,
C11,P1,Suivi & stats,https://v0-big-five-bootcamp-platform.vercel.app/admin,Bloc « utilisateurs actifs »,J'ouvre le tableau de bord admin et je regarde le bloc « utilisateurs actifs (30 jours) ».,Le bloc affiche un chiffre cohérent avec l'activité réelle (plus de bloc vide).,À tester,,,"Le bloc « actifs 30 j » se remplit avec les actions POSTÉRIEURES au déploiement ; au départ il peut afficher peu d'utilisateurs (tous en « première connexion »).",,,
C12,P1,Suivi & stats,https://v0-big-five-bootcamp-platform.vercel.app/admin/users,Historique détaillé par utilisateur,"Dans l'admin, onglet Utilisateurs, je clique sur un utilisateur ayant payé et s'étant inscrit à un webinaire.","Sa fiche montre, en plus des paiements, l'historique de ses actions importantes (inscription webinaire, etc. — qui a fait quoi, depuis quelle page).",À tester,,,"L'historique provient de analytics_events et remonte aussi dans /admin/audience. Seules les actions POSTÉRIEURES au déploiement apparaissent.",,,
C13,P2,Onboarding (profil),https://v0-big-five-bootcamp-platform.vercel.app/onboarding,Champ Pays — tous les pays,"À l'étape Pays de l'onboarding, je cherche des pays peu courants (ex. Islande, Fidji, Mongolie).","Tous les pays du monde sont disponibles, sans restriction.",À tester,,,,,,
C14,P2,Onboarding (profil),https://v0-big-five-bootcamp-platform.vercel.app/onboarding,Champ Pays — recherche,"Je tape les premières lettres d'un pays dans le champ (ex. « sén », « cot »).","La liste se filtre au fur et à mesure, même sans accents ou en minuscules.",À tester,,,,,,
C15,P2,Promo & Checkout,https://v0-big-five-bootcamp-platform.vercel.app/checkout,Pays de paiement — tous les pays,"Sur la page de paiement, j'ouvre le sélecteur de pays et je cherche des pays peu courants.","Tous les pays du monde sont listés, avec une barre de recherche qui filtre en tapant.",À tester,,,,,,
